indicador;nombre de indicador;a?o;ccaa;sexo;valor;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2017;Pa?s Vasco (PV);total;3.29765030882025;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2017;Navarra, C. Foral de (NC);total;3.31662540385296;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2017;Murcia, Regi?n de (MC);total;3.18115842209657;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2017;Madrid, Comunidad de (MD);total;2.7563662760354;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2017;Galicia (GA);total;3.33089080337535;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2017;Extremadura (EX);total;3.26598234785461;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2017;Comunitat Valenciana (VC);total;2.36882953777704;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2017;Catalu?a (CT);total;3.88824604521393;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2017;Castilla - La Mancha (CM);total;2.35086861644497;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2017;Castilla y Le?n (CL);total;3.47405189826669;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2017;Cantabria (CB);total;3.26538059671947;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2017;Canarias (CN);total;3.10755984895835;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2017;Balears, Illes (IB);total;2.99870016021281;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2017;Asturias, Principado de (AS);total;3.3777420488593;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2017;Arag?n (AR);total;3.74981000151999;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2017;Andaluc?a (AN);total;2.19839434979449;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2016;Espa?a (ES);total;2.96805089666818;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2016;Melilla (ML);total;1.89990677476074;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2016;Ceuta (CE);total;2.10036933460771;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2016;La Rioja (RI);total;3.23692913939906;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2016;Pa?s Vasco (PV);total;3.30327195738262;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2016;Navarra, C. Foral de (NC);total;3.32924945400309;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2016;Murcia, Regi?n de (MC);total;3.23611151781938;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2016;Madrid, Comunidad de (MD);total;2.7728376706302;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2016;Galicia (GA);total;3.33370435921005;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2016;Extremadura (EX);total;3.26216745916279;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2016;Comunitat Valenciana (VC);total;2.36256230565627;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2016;Catalu?a (CT);total;3.85318131864427;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2016;Castilla - La Mancha (CM);total;2.35555231387;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2016;Castilla y Le?n (CL);total;3.42733545536792;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2016;Cantabria (CB);total;3.29212161241718;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2016;Canarias (CN);total;3.10438385683048;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2016;Balears, Illes (IB);total;3.08883348641911;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2016;Asturias, Principado de (AS);total;3.28137580575952;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2016;Arag?n (AR);total;3.70858312230199;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2016;Andaluc?a (AN);total;2.17183106669115;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2015;Espa?a (ES);total;2.97147696611523;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2015;Melilla (ML);total;1.94469980906584;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2015;Ceuta (CE);total;2.10660859685666;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2015;La Rioja (RI);total;3.20517946765872;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2015;Pa?s Vasco (PV);total;3.34885629257398;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2015;Navarra, C. Foral de (NC);total;3.32944531252456;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2015;Murcia, Regi?n de (MC);total;3.23935827125018;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2015;Madrid, Comunidad de (MD);total;2.74869743862143;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2015;Galicia (GA);total;3.34741477682251;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2015;Extremadura (EX);total;3.3049010138032;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2015;Comunitat Valenciana (VC);total;2.35702351674473;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2015;Catalu?a (CT);total;3.83022395145626;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2015;Castilla - La Mancha (CM);total;2.30084077043128;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2015;Castilla y Le?n (CL);total;3.47783347520158;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2015;Cantabria (CB);total;3.30051657280662;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2015;Canarias (CN);total;3.150767517562;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2015;Balears, Illes (IB);total;3.10480350118401;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2015;Asturias, Principado de (AS);total;3.2638313109515;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2015;Arag?n (AR);total;3.67556434014509;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2015;Andaluc?a (AN);total;2.2019335200385;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2014;Espa?a (ES);total;2.96811141793888;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2014;Melilla (ML);total;1.96412203744926;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2014;Ceuta (CE);total;2.12788594531333;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2014;La Rioja (RI);total;3.19640372743973;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2014;Pa?s Vasco (PV);total;3.37135324336284;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2014;Navarra, C. Foral de (NC);total;3.37325914049483;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2014;Murcia, Regi?n de (MC);total;3.19734969311732;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2014;Madrid, Comunidad de (MD);total;2.85649609316234;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2014;Galicia (GA);total;3.3115918857238;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2014;Extremadura (EX);total;3.47606343587202;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2014;Comunitat Valenciana (VC);total;2.34586015108019;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2014;Catalu?a (CT);total;3.81039799172411;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2014;Castilla - La Mancha (CM);total;2.20519165674274;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2014;Castilla y Le?n (CL);total;3.44547593679284;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2014;Cantabria (CB);total;3.24240057036231;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2014;Canarias (CN);total;3.1197214332223;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2014;Balears, Illes (IB);total;2.99164712843823;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2014;Asturias, Principado de (AS);total;3.24560429812503;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2014;Arag?n (AR);total;3.67336830560618;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2014;Andaluc?a (AN);total;2.17371539342497;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2013;Espa?a (ES);total;2.96517625814;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2013;Melilla (ML);total;1.97377864969616;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2013;Ceuta (CE);total;2.13224667724893;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2013;La Rioja (RI);total;3.12631249861842;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2013;Pa?s Vasco (PV);total;3.40101887724446;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2013;Navarra, C. Foral de (NC);total;3.40337888963194;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2013;Murcia, Regi?n de (MC);total;3.17751662327779;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2013;Madrid, Comunidad de (MD);total;2.85916857481371;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2013;Galicia (GA);total;3.36299578672091;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2013;Extremadura (EX);total;3.50664779218651;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2013;Comunitat Valenciana (VC);total;2.33075136847626;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2013;Catalu?a (CT);total;3.75988291061131;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2013;Castilla - La Mancha (CM);total;2.1925616028249;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2013;Castilla y Le?n (CL);total;3.44718898495446;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2013;Cantabria (CB);total;3.16242206524343;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2013;Canarias (CN);total;3.1113404565323;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2013;Balears, Illes (IB);total;2.95587841444848;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2013;Asturias, Principado de (AS);total;3.30760127412263;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2013;Arag?n (AR);total;3.62605756890821;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2013;Andaluc?a (AN);total;2.19434353887073;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2012;Espa?a (ES);total;3.03259372134347;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2012;Melilla (ML);total;2.11976001747196;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2012;Ceuta (CE);total;2.35370190753314;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2012;La Rioja (RI);total;2.9495874108143;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2012;Pa?s Vasco (PV);total;3.60291161741774;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2012;Navarra, C. Foral de (NC);total;3.54121960372983;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2012;Murcia, Regi?n de (MC);total;3.1539570994153;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2012;Madrid, Comunidad de (MD);total;2.89111356416455;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2012;Galicia (GA);total;3.47954965085039;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2012;Extremadura (EX);total;3.47746993264135;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2012;Comunitat Valenciana (VC);total;2.3179086780697;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2012;Catalu?a (CT);total;3.92725800187906;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2012;Castilla - La Mancha (CM);total;2.30846969062983;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2012;Castilla y Le?n (CL);total;3.62042019073947;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2012;Cantabria (CB);total;3.26645294006716;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2012;Canarias (CN);total;3.11793361106973;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2012;Balears, Illes (IB);total;2.99450036223795;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2012;Asturias, Principado de (AS);total;3.39395626075801;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2012;Arag?n (AR);total;3.68466466045289;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2012;Andaluc?a (AN);total;2.21733898355937;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2011;Espa?a (ES);total;3.092456470163;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2011;Melilla (ML);total;2.21156408206768;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2011;Ceuta (CE);total;2.33547309639372;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2011;La Rioja (RI);total;2.9771517196169;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2011;Pa?s Vasco (PV);total;3.62711321170583;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2011;Navarra, C. Foral de (NC);total;3.81831377611643;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2011;Murcia, Regi?n de (MC);total;3.14936655867479;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2011;Madrid, Comunidad de (MD);total;2.95249190662203;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2011;Galicia (GA);total;3.48026101225522;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2011;Extremadura (EX);total;3.56009225218305;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2011;Comunitat Valenciana (VC);total;2.38961167760497;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2011;Catalu?a (CT);total;3.96008883327795;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2011;Castilla - La Mancha (CM);total;2.53785019497104;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2011;Castilla y Le?n (CL);total;3.68544186048384;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2011;Cantabria (CB);total;3.29419495408878;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2011;Canarias (CN);total;3.18456978645348;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2011;Balears, Illes (IB);total;3.01050427090694;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2011;Asturias, Principado de (AS);total;3.39387111824213;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2011;Arag?n (AR);total;3.76882321193739;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2011;Andaluc?a (AN);total;2.27314414406027;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2010;Espa?a (ES);total;3.1516832226604;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2010;Melilla (ML);total;2.26229019629093;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2010;Ceuta (CE);total;2.33362945676819;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2010;La Rioja (RI);total;2.96747218391973;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2010;Pa?s Vasco (PV);total;3.69326792469775;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2010;Navarra, C. Foral de (NC);total;3.81842964261432;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2010;Murcia, Regi?n de (MC);total;3.11431479616759;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2010;Madrid, Comunidad de (MD);total;2.95883346410138;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2010;Galicia (GA);total;3.61913302323678;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2010;Extremadura (EX);total;3.60123317753858;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2010;Comunitat Valenciana (VC);total;2.46101341574916;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2010;Catalu?a (CT);total;4.1144079129071;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2010;Castilla - La Mancha (CM);total;2.57564138520769;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2010;Castilla y Le?n (CL);total;3.60041667518374;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2010;Cantabria (CB);total;3.40204191591948;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2010;Canarias (CN);total;3.28086655021542;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2010;Balears, Illes (IB);total;3.10721752189218;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2010;Asturias, Principado de (AS);total;3.46314367552964;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2010;Arag?n (AR);total;3.80916697889347;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2010;Andaluc?a (AN);total;2.30482286825126;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2009;Espa?a (ES);total;3.19;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2009;Melilla (ML);total;2.41;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2009;Ceuta (CE);total;2.55;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2009;La Rioja (RI);total;2.81;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2009;Pa?s Vasco (PV);total;3.71;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2009;Navarra, C. Foral de (NC);total;3.84;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2009;Murcia, Regi?n de (MC);total;3.11;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2009;Madrid, Comunidad de (MD);total;3.03;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2009;Galicia (GA);total;3.6;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2009;Extremadura (EX);total;3.54;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2009;Comunitat Valenciana (VC);total;2.43;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2009;Catalu?a (CT);total;4.17;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2009;Castilla - La Mancha (CM);total;2.64;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2009;Castilla y Le?n (CL);total;3.59;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2009;Cantabria (CB);total;3.52;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2009;Canarias (CN);total;3.31;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2009;Balears, Illes (IB);total;3.11;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2009;Asturias, Principado de (AS);total;3.55;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2009;Arag?n (AR);total;3.83;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2009;Andaluc?a (AN);total;2.38;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2008;Espa?a (ES);total;3.22;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2008;Melilla (ML);total;2.38;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2008;Ceuta (CE);total;2.72;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2008;La Rioja (RI);total;3.0;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2008;Pa?s Vasco (PV);total;3.75;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2008;Navarra, C. Foral de (NC);total;3.86;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2008;Murcia, Regi?n de (MC);total;3.14;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2008;Madrid, Comunidad de (MD);total;3.1;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2008;Galicia (GA);total;3.62;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2008;Extremadura (EX);total;3.62;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2008;Comunitat Valenciana (VC);total;2.44;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2008;Catalu?a (CT);total;4.19;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2008;Castilla - La Mancha (CM);total;2.63;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2008;Castilla y Le?n (CL);total;3.57;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2008;Cantabria (CB);total;3.61;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2008;Canarias (CN);total;3.36;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2008;Balears, Illes (IB);total;3.24;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2008;Asturias, Principado de (AS);total;3.56;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2008;Arag?n (AR);total;3.84;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2008;Andaluc?a (AN);total;2.41;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2007;Espa?a (ES);total;3.27;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2007;Melilla (ML);total;2.87;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2007;Ceuta (CE);total;2.53;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2007;La Rioja (RI);total;3.06;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2007;Pa?s Vasco (PV);total;3.78;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2007;Navarra, C. Foral de (NC);total;3.86;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2007;Murcia, Regi?n de (MC);total;3.16;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2007;Madrid, Comunidad de (MD);total;3.08;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2007;Galicia (GA);total;3.63;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2007;Extremadura (EX);total;3.55;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2007;Comunitat Valenciana (VC);total;2.52;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2007;Catalu?a (CT);total;4.26;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2007;Castilla - La Mancha (CM);total;2.63;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2007;Castilla y Le?n (CL);total;3.6;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2007;Cantabria (CB);total;3.72;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2007;Canarias (CN);total;3.47;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2007;Balears, Illes (IB);total;3.3;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2007;Asturias, Principado de (AS);total;3.63;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2007;Arag?n (AR);total;3.83;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2007;Andaluc?a (AN);total;2.52;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2006;Espa?a (ES);total;3.32;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2006;Melilla (ML);total;2.88;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2006;Ceuta (CE);total;2.54;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2006;La Rioja (RI);total;3.13;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2006;Pa?s Vasco (PV);total;3.8;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2006;Navarra, C. Foral de (NC);total;3.6;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2006;Murcia, Regi?n de (MC);total;3.13;
