Comunidad Autónoma y Provincia;Tipo de índice;años;Total
Andalucía;Grado de ocupación;1994;73,23
Andalucía;Grado de ocupación;1993;75,06
Andalucía;Grado de ocupación;1992;74,43
Andalucía;Grado de ocupación;1991;74,95
Andalucía;Promedio de estancias/enfermo;2000;..
Andalucía;Promedio de estancias/enfermo;1999;..
Andalucía;Promedio de estancias/enfermo;1998;..
Andalucía;Promedio de estancias/enfermo;1997;8,04
Andalucía;Promedio de estancias/enfermo;1996;8,34
Andalucía;Promedio de estancias/enfermo;1995;8,74
Andalucía;Promedio de estancias/enfermo;1994;8,41
Andalucía;Promedio de estancias/enfermo;1993;8,56
Andalucía;Promedio de estancias/enfermo;1992;9,18
Andalucía;Promedio de estancias/enfermo;1991;9,66
Andalucía;Índice de rotación;2000;..
Andalucía;Índice de rotación;1999;..
Andalucía;Índice de rotación;1998;..
Andalucía;Índice de rotación;1997;34,16
Andalucía;Índice de rotación;1996;33,25
Andalucía;Índice de rotación;1995;31,88
Andalucía;Índice de rotación;1994;31,77
Andalucía;Índice de rotación;1993;32,01
Andalucía;Índice de rotación;1992;29,61
Andalucía;Índice de rotación;1991;28,33
Andalucía;Actos quirúrgicos/quirófano;2000;..
Andalucía;Actos quirúrgicos/quirófano;1999;..
Andalucía;Actos quirúrgicos/quirófano;1998;..
Andalucía;Actos quirúrgicos/quirófano;1997;968,07
Andalucía;Actos quirúrgicos/quirófano;1996;919,75
Andalucía;Actos quirúrgicos/quirófano;1995;875,46
Andalucía;Actos quirúrgicos/quirófano;1994;854,15
Andalucía;Actos quirúrgicos/quirófano;1993;823,75
Andalucía;Actos quirúrgicos/quirófano;1992;779,87
Andalucía;Actos quirúrgicos/quirófano;1991;740,59
Andalucía;Partos/camas de obstetricia;2000;..
Andalucía;Partos/camas de obstetricia;1999;..
Andalucía;Partos/camas de obstetricia;1998;..
Andalucía;Partos/camas de obstetricia;1997;50,13
Andalucía;Partos/camas de obstetricia;1996;48,94
Andalucía;Partos/camas de obstetricia;1995;49,11
Andalucía;Partos/camas de obstetricia;1994;48,14
Andalucía;Partos/camas de obstetricia;1993;48,92
Andalucía;Partos/camas de obstetricia;1992;52,54
Andalucía;Partos/camas de obstetricia;1991;50,67
Andalucía;Necropsias/1.000 fallecidos;2000;..
Andalucía;Necropsias/1.000 fallecidos;1999;..
Andalucía;Necropsias/1.000 fallecidos;1998;..
Andalucía;Necropsias/1.000 fallecidos;1997;30,52
Andalucía;Necropsias/1.000 fallecidos;1996;31,55
Andalucía;Necropsias/1.000 fallecidos;1995;32,01
Andalucía;Necropsias/1.000 fallecidos;1994;40,99
Andalucía;Necropsias/1.000 fallecidos;1993;42,95
Andalucía;Necropsias/1.000 fallecidos;1992;42,15
Andalucía;Necropsias/1.000 fallecidos;1991;44,05
Almería;Grado de ocupación;2000;..
Almería;Grado de ocupación;1999;..
Almería;Grado de ocupación;1998;..
Almería;Grado de ocupación;1997;73,79
Almería;Grado de ocupación;1996;81,54
Almería;Grado de ocupación;1995;78,33
Almería;Grado de ocupación;1994;77,46
Almería;Grado de ocupación;1993;76,27
Almería;Grado de ocupación;1992;77,08
Almería;Grado de ocupación;1991;81,49
Almería;Promedio de estancias/enfermo;2000;..
Almería;Promedio de estancias/enfermo;1999;..
Almería;Promedio de estancias/enfermo;1998;..
Almería;Promedio de estancias/enfermo;1997;7,23
Almería;Promedio de estancias/enfermo;1996;7,77
Almería;Promedio de estancias/enfermo;1995;8,09
Almería;Promedio de estancias/enfermo;1994;7,05
Almería;Promedio de estancias/enfermo;1993;7,14
Almería;Promedio de estancias/enfermo;1992;7,46
Almería;Promedio de estancias/enfermo;1991;8,25
Almería;Índice de rotación;2000;..
Almería;Índice de rotación;1999;..
Almería;Índice de rotación;1998;..
Almería;Índice de rotación;1997;37,25
Almería;Índice de rotación;1996;38,31
Almería;Índice de rotación;1995;35,35
Almería;Índice de rotación;1994;40,11
Almería;Índice de rotación;1993;38,98
Almería;Índice de rotación;1992;37,73
Almería;Índice de rotación;1991;36,04
Almería;Actos quirúrgicos/quirófano;2000;..
Almería;Actos quirúrgicos/quirófano;1999;..
Almería;Actos quirúrgicos/quirófano;1998;..
Almería;Actos quirúrgicos/quirófano;1997;859,49
Almería;Actos quirúrgicos/quirófano;1996;747,58
Almería;Actos quirúrgicos/quirófano;1995;656,90
Almería;Actos quirúrgicos/quirófano;1994;672,49
Almería;Actos quirúrgicos/quirófano;1993;566,63
Almería;Actos quirúrgicos/quirófano;1992;643,87
Almería;Actos quirúrgicos/quirófano;1991;761,97
Almería;Partos/camas de obstetricia;2000;..
Almería;Partos/camas de obstetricia;1999;..
Almería;Partos/camas de obstetricia;1998;..
Almería;Partos/camas de obstetricia;1997;44,57
Almería;Partos/camas de obstetricia;1996;43,97
Almería;Partos/camas de obstetricia;1995;51,30
Almería;Partos/camas de obstetricia;1994;44,11
Almería;Partos/camas de obstetricia;1993;43,55
Almería;Partos/camas de obstetricia;1992;59,10
Almería;Partos/camas de obstetricia;1991;51,02
Almería;Necropsias/1.000 fallecidos;2000;..
Almería;Necropsias/1.000 fallecidos;1999;..
Almería;Necropsias/1.000 fallecidos;1998;..
Almería;Necropsias/1.000 fallecidos;1997;25,19
Almería;Necropsias/1.000 fallecidos;1996;12,71
Almería;Necropsias/1.000 fallecidos;1995;18,16
Almería;Necropsias/1.000 fallecidos;1994;33,21
Almería;Necropsias/1.000 fallecidos;1993;54,26
Almería;Necropsias/1.000 fallecidos;1992;48,78
Almería;Necropsias/1.000 fallecidos;1991;40,56
Cádiz;Grado de ocupación;2000;..
Cádiz;Grado de ocupación;1999;..
Cádiz;Grado de ocupación;1998;..
Cádiz;Grado de ocupación;1997;65,82
Cádiz;Grado de ocupación;1996;66,84
Cádiz;Grado de ocupación;1995;68,98
Cádiz;Grado de ocupación;1994;67,04
Cádiz;Grado de ocupación;1993;67,96
Cádiz;Grado de ocupación;1992;67,57
Cádiz;Grado de ocupación;1991;67,81
Cádiz;Promedio de estancias/enfermo;2000;..
Cádiz;Promedio de estancias/enfermo;1999;..
Cádiz;Promedio de estancias/enfermo;1998;..
Cádiz;Promedio de estancias/enfermo;1997;7,81
Cádiz;Promedio de estancias/enfermo;1996;8,56
Cádiz;Promedio de estancias/enfermo;1995;8,62
Cádiz;Promedio de estancias/enfermo;1994;8,52
Cádiz;Promedio de estancias/enfermo;1993;8,82
Cádiz;Promedio de estancias/enfermo;1992;9,51
Cádiz;Promedio de estancias/enfermo;1991;10,45
Cádiz;Índice de rotación;2000;..
Cádiz;Índice de rotación;1999;..
Cádiz;Índice de rotación;1998;..
Cádiz;Índice de rotación;1997;30,78
Cádiz;Índice de rotación;1996;28,50
Cádiz;Índice de rotación;1995;29,21
Cádiz;Índice de rotación;1994;28,71
Cádiz;Índice de rotación;1993;28,14
Cádiz;Índice de rotación;1992;25,94
Cádiz;Índice de rotación;1991;23,68
Cádiz;Actos quirúrgicos/quirófano;2000;..
Cádiz;Actos quirúrgicos/quirófano;1999;..
Cádiz;Actos quirúrgicos/quirófano;1998;..
Cádiz;Actos quirúrgicos/quirófano;1997;926,72
Cádiz;Actos quirúrgicos/quirófano;1996;918,14
Cádiz;Actos quirúrgicos/quirófano;1995;810,37
Cádiz;Actos quirúrgicos/quirófano;1994;747,27
Cádiz;Actos quirúrgicos/quirófano;1993;697,73
Cádiz;Actos quirúrgicos/quirófano;1992;623,12
Cádiz;Actos quirúrgicos/quirófano;1991;562,37
Cádiz;Partos/camas de obstetricia;2000;..
Cádiz;Partos/camas de obstetricia;1999;..
Cádiz;Partos/camas de obstetricia;1998;..
Cádiz;Partos/camas de obstetricia;1997;46,12
Cádiz;Partos/camas de obstetricia;1996;47,54
Cádiz;Partos/camas de obstetricia;1995;50,20
Cádiz;Partos/camas de obstetricia;1994;48,50
Cádiz;Partos/camas de obstetricia;1993;45,61
Cádiz;Partos/camas de obstetricia;1992;48,67
Cádiz;Partos/camas de obstetricia;1991;47,62
Cádiz;Necropsias/1.000 fallecidos;2000;..
Cádiz;Necropsias/1.000 fallecidos;1999;..
Cádiz;Necropsias/1.000 fallecidos;1998;..
Cádiz;Necropsias/1.000 fallecidos;1997;25,70
Cádiz;Necropsias/1.000 fallecidos;1996;26,37
Cádiz;Necropsias/1.000 fallecidos;1995;38,67
Cádiz;Necropsias/1.000 fallecidos;1994;29,44
Cádiz;Necropsias/1.000 fallecidos;1993;34,55
Cádiz;Necropsias/1.000 fallecidos;1992;31,43
Cádiz;Necropsias/1.000 fallecidos;1991;35,90
Córdoba;Grado de ocupación;2000;..
Córdoba;Grado de ocupación;1999;..
Córdoba;Grado de ocupación;1998;..
Córdoba;Grado de ocupación;1997;84,41
Córdoba;Grado de ocupación;1996;83,93
Córdoba;Grado de ocupación;1995;83,71
Córdoba;Grado de ocupación;1994;81,96
Córdoba;Grado de ocupación;1993;80,64
Córdoba;Grado de ocupación;1992;73,22
Córdoba;Grado de ocupación;1991;76,52
Córdoba;Promedio de estancias/enfermo;2000;..
Córdoba;Promedio de estancias/enfermo;1999;..
Córdoba;Promedio de estancias/enfermo;1998;..
Córdoba;Promedio de estancias/enfermo;1997;8,03
Córdoba;Promedio de estancias/enfermo;1996;7,94
Córdoba;Promedio de estancias/enfermo;1995;8,41
Córdoba;Promedio de estancias/enfermo;1994;8,18
Córdoba;Promedio de estancias/enfermo;1993;8,40
Córdoba;Promedio de estancias/enfermo;1992;8,32
Córdoba;Promedio de estancias/enfermo;1991;8,89
Córdoba;Índice de rotación;2000;..
Córdoba;Índice de rotación;1999;..
Córdoba;Índice de rotación;1998;..
Córdoba;Índice de rotación;1997;38,39
Córdoba;Índice de rotación;1996;38,56
Córdoba;Índice de rotación;1995;36,33
Córdoba;Índice de rotación;1994;36,55
Córdoba;Índice de rotación;1993;35,04
Córdoba;Índice de rotación;1992;32,12
Córdoba;Índice de rotación;1991;31,40
Córdoba;Actos quirúrgicos/quirófano;2000;..
Córdoba;Actos quirúrgicos/quirófano;1999;..
Córdoba;Actos quirúrgicos/quirófano;1998;..
Córdoba;Actos quirúrgicos/quirófano;1997;1.141,10
Córdoba;Actos quirúrgicos/quirófano;1996;1.106,56
Córdoba;Actos quirúrgicos/quirófano;1995;1.059,96
Córdoba;Actos quirúrgicos/quirófano;1994;1.113,20
Córdoba;Actos quirúrgicos/quirófano;1993;1.102,43
Córdoba;Actos quirúrgicos/quirófano;1992;1.022,83
Córdoba;Actos quirúrgicos/quirófano;1991;1.069,73
Córdoba;Partos/camas de obstetricia;2000;..
Córdoba;Partos/camas de obstetricia;1999;..
Córdoba;Partos/camas de obstetricia;1998;..
Córdoba;Partos/camas de obstetricia;1997;59,84
Córdoba;Partos/camas de obstetricia;1996;58,10
Córdoba;Partos/camas de obstetricia;1995;52,22
Córdoba;Partos/camas de obstetricia;1994;55,88
Córdoba;Partos/camas de obstetricia;1993;58,84
Córdoba;Partos/camas de obstetricia;1992;60,88
Córdoba;Partos/camas de obstetricia;1991;60,82
Córdoba;Necropsias/1.000 fallecidos;2000;..
Córdoba;Necropsias/1.000 fallecidos;1999;..
Córdoba;Necropsias/1.000 fallecidos;1998;..
Córdoba;Necropsias/1.000 fallecidos;1997;13,49
Córdoba;Necropsias/1.000 fallecidos;1996;17,42
Córdoba;Necropsias/1.000 fallecidos;1995;23,27
Córdoba;Necropsias/1.000 fallecidos;1994;20,09
Córdoba;Necropsias/1.000 fallecidos;1993;38,43
Córdoba;Necropsias/1.000 fallecidos;1992;34,21
Córdoba;Necropsias/1.000 fallecidos;1991;39,13
Granada;Grado de ocupación;2000;..
Granada;Grado de ocupación;1999;..
Granada;Grado de ocupación;1998;..
Granada;Grado de ocupación;1997;75,22
Granada;Grado de ocupación;1996;77,50
Granada;Grado de ocupación;1995;78,54
Granada;Grado de ocupación;1994;75,82
Granada;Grado de ocupación;1993;76,91
Granada;Grado de ocupación;1992;75,53
Granada;Grado de ocupación;1991;76,74
Granada;Promedio de estancias/enfermo;2000;..
Granada;Promedio de estancias/enfermo;1999;..
Granada;Promedio de estancias/enfermo;1998;..
Granada;Promedio de estancias/enfermo;1997;7,76
Granada;Promedio de estancias/enfermo;1996;7,92
Granada;Promedio de estancias/enfermo;1995;8,46
Granada;Promedio de estancias/enfermo;1994;8,01
Granada;Promedio de estancias/enfermo;1993;8,35
Granada;Promedio de estancias/enfermo;1992;8,89
Granada;Promedio de estancias/enfermo;1991;8,52
Granada;Índice de rotación;2000;..
Granada;Índice de rotación;1999;..
Granada;Índice de rotación;1998;..
Granada;Índice de rotación;1997;35,39
Granada;Índice de rotación;1996;35,71
Granada;Índice de rotación;1995;33,86
Granada;Índice de rotación;1994;34,56
Granada;Índice de rotación;1993;33,63
Granada;Índice de rotación;1992;31,00
Granada;Índice de rotación;1991;32,87
Granada;Actos quirúrgicos/quirófano;2000;..
Granada;Actos quirúrgicos/quirófano;1999;..
Granada;Actos quirúrgicos/quirófano;1998;..
Granada;Actos quirúrgicos/quirófano;1997;917,30
Granada;Actos quirúrgicos/quirófano;1996;901,91
Granada;Actos quirúrgicos/quirófano;1995;953,42
Granada;Actos quirúrgicos/quirófano;1994;903,45
Granada;Actos quirúrgicos/quirófano;1993;849,37
Granada;Actos quirúrgicos/quirófano;1992;876,33
Granada;Actos quirúrgicos/quirófano;1991;902,54
Granada;Partos/camas de obstetricia;2000;..
Granada;Partos/camas de obstetricia;1999;..
Granada;Partos/camas de obstetricia;1998;..
Granada;Partos/camas de obstetricia;1997;43,15
Granada;Partos/camas de obstetricia;1996;43,64
Granada;Partos/camas de obstetricia;1995;43,13
Granada;Partos/camas de obstetricia;1994;39,36
Granada;Partos/camas de obstetricia;1993;43,28
Granada;Partos/camas de obstetricia;1992;44,47
Granada;Partos/camas de obstetricia;1991;42,84
Granada;Necropsias/1.000 fallecidos;2000;..
Granada;Necropsias/1.000 fallecidos;1999;..
Granada;Necropsias/1.000 fallecidos;1998;..
Granada;Necropsias/1.000 fallecidos;1997;34,84
Granada;Necropsias/1.000 fallecidos;1996;39,68
Granada;Necropsias/1.000 fallecidos;1995;33,89
Granada;Necropsias/1.000 fallecidos;1994;47,38
Granada;Necropsias/1.000 fallecidos;1993;46,32
Granada;Necropsias/1.000 fallecidos;1992;41,67
Granada;Necropsias/1.000 fallecidos;1991;52,53
Huelva;Grado de ocupación;2000;..
Huelva;Grado de ocupación;1999;..
Huelva;Grado de ocupación;1998;..
Huelva;Grado de ocupación;1997;74,52
Huelva;Grado de ocupación;1996;75,24
Huelva;Grado de ocupación;1995;75,64
Huelva;Grado de ocupación;1994;69,33
Huelva;Grado de ocupación;1993;75,12
Huelva;Grado de ocupación;1992;75,55
Huelva;Grado de ocupación;1991;76,01
Huelva;Promedio de estancias/enfermo;2000;..
Huelva;Promedio de estancias/enfermo;1999;..
Huelva;Promedio de estancias/enfermo;1998;..
Huelva;Promedio de estancias/enfermo;1997;8,04
Huelva;Promedio de estancias/enfermo;1996;8,03
Huelva;Promedio de estancias/enfermo;1995;8,26
Huelva;Promedio de estancias/enfermo;1994;7,79
Huelva;Promedio de estancias/enfermo;1993;7,87
Huelva;Promedio de estancias/enfermo;1992;8,30
Huelva;Promedio de estancias/enfermo;1991;8,93
Huelva;Índice de rotación;2000;..
Huelva;Índice de rotación;1999;..
Huelva;Índice de rotación;1998;..
Huelva;Índice de rotación;1997;33,82
Huelva;Índice de rotación;1996;34,20
Huelva;Índice de rotación;1995;33,41
Huelva;Índice de rotación;1994;32,48
Huelva;Índice de rotación;1993;34,83
Huelva;Índice de rotación;1992;33,21
Huelva;Índice de rotación;1991;31,06
Huelva;Actos quirúrgicos/quirófano;2000;..
Huelva;Actos quirúrgicos/quirófano;1999;..
Huelva;Actos quirúrgicos/quirófano;1998;..
Huelva;Actos quirúrgicos/quirófano;1997;940,78
Huelva;Actos quirúrgicos/quirófano;1996;935,61
Huelva;Actos quirúrgicos/quirófano;1995;884,58
Huelva;Actos quirúrgicos/quirófano;1994;901,94
Huelva;Actos quirúrgicos/quirófano;1993;955,42
Huelva;Actos quirúrgicos/quirófano;1992;873,33
Huelva;Actos quirúrgicos/quirófano;1991;683,48
Huelva;Partos/camas de obstetricia;2000;..
Huelva;Partos/camas de obstetricia;1999;..
Huelva;Partos/camas de obstetricia;1998;..
Huelva;Partos/camas de obstetricia;1997;48,85
Huelva;Partos/camas de obstetricia;1996;49,20
Huelva;Partos/camas de obstetricia;1995;55,00
Huelva;Partos/camas de obstetricia;1994;51,76
Huelva;Partos/camas de obstetricia;1993;51,92
Huelva;Partos/camas de obstetricia;1992;54,16
Huelva;Partos/camas de obstetricia;1991;50,43
Huelva;Necropsias/1.000 fallecidos;2000;..
Huelva;Necropsias/1.000 fallecidos;1999;..
Huelva;Necropsias/1.000 fallecidos;1998;..
Huelva;Necropsias/1.000 fallecidos;1997;30,32
Huelva;Necropsias/1.000 fallecidos;1996;24,84
Huelva;Necropsias/1.000 fallecidos;1995;29,32
Huelva;Necropsias/1.000 fallecidos;1994;46,69
Huelva;Necropsias/1.000 fallecidos;1993;22,61
Huelva;Necropsias/1.000 fallecidos;1992;35,96
Huelva;Necropsias/1.000 fallecidos;1991;26,68
Jaén;Grado de ocupación;2000;..
Jaén;Grado de ocupación;1999;..
Jaén;Grado de ocupación;1998;..
Jaén;Grado de ocupación;1997;73,35
Jaén;Grado de ocupación;1996;75,24
Jaén;Grado de ocupación;1995;76,41
Jaén;Grado de ocupación;1994;72,79
Jaén;Grado de ocupación;1993;72,89
Jaén;Grado de ocupación;1992;72,18
Jaén;Grado de ocupación;1991;69,43
Jaén;Promedio de estancias/enfermo;2000;..
Jaén;Promedio de estancias/enfermo;1999;..
Jaén;Promedio de estancias/enfermo;1998;..
Jaén;Promedio de estancias/enfermo;1997;6,58
Jaén;Promedio de estancias/enfermo;1996;6,75
Jaén;Promedio de estancias/enfermo;1995;7,23
Jaén;Promedio de estancias/enfermo;1994;7,01
Jaén;Promedio de estancias/enfermo;1993;7,37
Jaén;Promedio de estancias/enfermo;1992;7,73
Jaén;Promedio de estancias/enfermo;1991;8,58
Jaén;Índice de rotación;2000;..
Jaén;Índice de rotación;1999;..
Jaén;Índice de rotación;1998;..
Jaén;Índice de rotación;1997;40,66
Jaén;Índice de rotación;1996;40,66
Jaén;Índice de rotación;1995;38,55
Jaén;Índice de rotación;1994;37,92
Jaén;Índice de rotación;1993;36,09
Jaén;Índice de rotación;1992;34,08
Jaén;Índice de rotación;1991;29,53
Jaén;Actos quirúrgicos/quirófano;2000;..
Jaén;Actos quirúrgicos/quirófano;1999;..
Jaén;Actos quirúrgicos/quirófano;1998;..
Jaén;Actos quirúrgicos/quirófano;1997;973,68
Jaén;Actos quirúrgicos/quirófano;1996;851,34
Jaén;Actos quirúrgicos/quirófano;1995;803,02
Jaén;Actos quirúrgicos/quirófano;1994;887,65
Jaén;Actos quirúrgicos/quirófano;1993;693,40
Jaén;Actos quirúrgicos/quirófano;1992;635,50
Jaén;Actos quirúrgicos/quirófano;1991;559,76
Jaén;Partos/camas de obstetricia;2000;..
Jaén;Partos/camas de obstetricia;1999;..
Jaén;Partos/camas de obstetricia;1998;..
Jaén;Partos/camas de obstetricia;1997;42,82
Jaén;Partos/camas de obstetricia;1996;43,63
Jaén;Partos/camas de obstetricia;1995;45,68
Jaén;Partos/camas de obstetricia;1994;45,90
Jaén;Partos/camas de obstetricia;1993;46,36
Jaén;Partos/camas de obstetricia;1992;49,46
Jaén;Partos/camas de obstetricia;1991;44,59
Jaén;Necropsias/1.000 fallecidos;2000;..
Jaén;Necropsias/1.000 fallecidos;1999;..
Jaén;Necropsias/1.000 fallecidos;1998;..
Jaén;Necropsias/1.000 fallecidos;1997;23,77
Jaén;Necropsias/1.000 fallecidos;1996;19,06
Jaén;Necropsias/1.000 fallecidos;1995;17,13
Jaén;Necropsias/1.000 fallecidos;1994;21,14
Jaén;Necropsias/1.000 fallecidos;1993;19,28
Jaén;Necropsias/1.000 fallecidos;1992;8,35
Jaén;Necropsias/1.000 fallecidos;1991;14,40
Málaga;Grado de ocupación;2000;..
Málaga;Grado de ocupación;1999;..
Málaga;Grado de ocupación;1998;..
Málaga;Grado de ocupación;1997;78,01
Málaga;Grado de ocupación;1996;76,12
Málaga;Grado de ocupación;1995;74,05
Málaga;Grado de ocupación;1994;69,89
Málaga;Grado de ocupación;1993;76,46
Málaga;Grado de ocupación;1992;76,08
Málaga;Grado de ocupación;1991;74,85
Málaga;Promedio de estancias/enfermo;2000;..
Málaga;Promedio de estancias/enfermo;1999;..
Málaga;Promedio de estancias/enfermo;1998;..
Málaga;Promedio de estancias/enfermo;1997;9,66
Málaga;Promedio de estancias/enfermo;1996;9,80
Málaga;Promedio de estancias/enfermo;1995;10,47
Málaga;Promedio de estancias/enfermo;1994;10,09
Málaga;Promedio de estancias/enfermo;1993;10,09
Málaga;Promedio de estancias/enfermo;1992;11,06
Málaga;Promedio de estancias/enfermo;1991;11,41
Málaga;Índice de rotación;2000;..
Málaga;Índice de rotación;1999;..
Málaga;Índice de rotación;1998;..
Málaga;Índice de rotación;1997;29,47
Málaga;Índice de rotación;1996;28,36
Málaga;Índice de rotación;1995;25,80
Málaga;Índice de rotación;1994;25,28
Málaga;Índice de rotación;1993;27,67
Málaga;Índice de rotación;1992;25,10
Málaga;Índice de rotación;1991;23,94
Málaga;Actos quirúrgicos/quirófano;2000;..
Málaga;Actos quirúrgicos/quirófano;1999;..
Málaga;Actos quirúrgicos/quirófano;1998;..
Málaga;Actos quirúrgicos/quirófano;1997;849,58
Málaga;Actos quirúrgicos/quirófano;1996;771,75
Málaga;Actos quirúrgicos/quirófano;1995;762,28
Málaga;Actos quirúrgicos/quirófano;1994;741,10
Málaga;Actos quirúrgicos/quirófano;1993;785,63
Málaga;Actos quirúrgicos/quirófano;1992;724,52
Málaga;Actos quirúrgicos/quirófano;1991;658,20
Málaga;Partos/camas de obstetricia;2000;..
Málaga;Partos/camas de obstetricia;1999;..
Málaga;Partos/camas de obstetricia;1998;..
Málaga;Partos/camas de obstetricia;1997;52,49
Málaga;Partos/camas de obstetricia;1996;47,28
Málaga;Partos/camas de obstetricia;1995;44,28
Málaga;Partos/camas de obstetricia;1994;44,28
Málaga;Partos/camas de obstetricia;1993;43,70
Málaga;Partos/camas de obstetricia;1992;48,49
Málaga;Partos/camas de obstetricia;1991;45,89
Málaga;Necropsias/1.000 fallecidos;2000;..
Málaga;Necropsias/1.000 fallecidos;1999;..
Málaga;Necropsias/1.000 fallecidos;1998;..
Málaga;Necropsias/1.000 fallecidos;1997;25,86
Málaga;Necropsias/1.000 fallecidos;1996;32,17
Málaga;Necropsias/1.000 fallecidos;1995;24,64
Málaga;Necropsias/1.000 fallecidos;1994;43,62
Málaga;Necropsias/1.000 fallecidos;1993;39,73
Málaga;Necropsias/1.000 fallecidos;1992;50,28
Málaga;Necropsias/1.000 fallecidos;1991;45,96
Sevilla;Grado de ocupación;2000;..
Sevilla;Grado de ocupación;1999;..
Sevilla;Grado de ocupación;1998;..
Sevilla;Grado de ocupación;1997;77,70
Sevilla;Grado de ocupación;1996;78,14
Sevilla;Grado de ocupación;1995;78,95
Sevilla;Grado de ocupación;1994;75,83
Sevilla;Grado de ocupación;1993;76,34
Sevilla;Grado de ocupación;1992;78,42
Sevilla;Grado de ocupación;1991;79,53
Sevilla;Promedio de estancias/enfermo;2000;..
Sevilla;Promedio de estancias/enfermo;1999;..
Sevilla;Promedio de estancias/enfermo;1998;..
Sevilla;Promedio de estancias/enfermo;1997;7,96
Sevilla;Promedio de estancias/enfermo;1996;8,39
Sevilla;Promedio de estancias/enfermo;1995;8,75
Sevilla;Promedio de estancias/enfermo;1994;8,62
Sevilla;Promedio de estancias/enfermo;1993;8,51
Sevilla;Promedio de estancias/enfermo;1992;9,49
Sevilla;Promedio de estancias/enfermo;1991;9,92
Sevilla;Índice de rotación;2000;..
Sevilla;Índice de rotación;1999;..
Sevilla;Índice de rotación;1998;..
Sevilla;Índice de rotación;1997;35,64
Sevilla;Índice de rotación;1996;33,99
Sevilla;Índice de rotación;1995;32,94
Sevilla;Índice de rotación;1994;32,12
Sevilla;Índice de rotación;1993;32,74
Sevilla;Índice de rotación;1992;30,15
Sevilla;Índice de rotación;1991;29,26
Sevilla;Actos quirúrgicos/quirófano;2000;..
Sevilla;Actos quirúrgicos/quirófano;1999;..
Sevilla;Actos quirúrgicos/quirófano;1998;..
Sevilla;Actos quirúrgicos/quirófano;1997;1.091,27
Sevilla;Actos quirúrgicos/quirófano;1996;1.059,09
Sevilla;Actos quirúrgicos/quirófano;1995;996,58
Sevilla;Actos quirúrgicos/quirófano;1994;938,94
Sevilla;Actos quirúrgicos/quirófano;1993;927,69
Sevilla;Actos quirúrgicos/quirófano;1992;848,10
Sevilla;Actos quirúrgicos/quirófano;1991;790,66
