Semana;andalucia;aragon;asturias;cantabria;castilla-la_mancha;castilla_y_leon;cataluña;ceuta;c_valenciana;extremadura;galicia;i_baleares;i_canarias;la_rioja;madrid;melilla;murcia;navarra;pais_vasco
55;2167;519;300;164;1192;945;4271;19;3678;510;593;498;296;138;3149;12;643;118;554
56;3520;683;420;206;1714;1701;4982;27;4826;678;987;562;300;217;4401;32;998;163;693
57;4563;758;583;217;1846;2282;5139;27;5132;653;1330;561;316;253;5020;40;1049;173;815
58;4652;742;680;173;1594;2226;4657;29;4282;504;1320;482;321;243;4864;40;865;176;834
59;3773;690;670;148;1090;1776;3740;27;2898;299;1066;337;283;194;4221;36;569;144;779
60;2653;517;547;133;647;1204;3066;31;1761;190;758;240;254;109;3346;25;374;110;665
61;1946;392;428;123;418;854;2474;26;1121;103;510;174;247;72;2665;20;250;84;565
62;1526;331;372;87;308;636;2123;20;720;55;382;129;289;60;2325;17;175;66;495
63;1233;285;323;74;237;523;1964;22;475;39;303;99;287;53;2162;14;145;64;455
64;1093;254;297;62;175;431;1814;28;347;36;268;81;284;47;2031;20;122;66;416
65;1040;262;260;61;185;401;1853;28;299;52;215;75;280;41;2046;27;101;88;442
66;1114;292;237;78;263;449;1984;24;268;68;199;68;264;54;2190;30;94;120;457
67;1389;300;232;75;339;514;2257;30;262;85;176;63;281;66;2481;43;91;163;578
68;1506;348;234;84;380;533;2196;32;245;88;192;58;280;72;2625;41;82;184;665
69;1507;379;233;93;425;547;2064;26;235;84;207;57;270;73;2748;28;77;189;779
70;1406;372;212;102;438;521;1941;23;222;64;209;62;239;76;2719;23;76;181;808
71;1239;372;180;110;433;442;1714;20;176;52;199;60;225;68;2499;18;69;147;695
72;1085;320;121;94;379;360;1369;9;147;46;175;48;184;58;2045;18;72;106;582
73;933;262;94;59;325;299;1001;5;119;38;142;45;176;47;1664;11;75;75;467
74;837;220;98;35;257;271;803;5;120;27;114;36;160;41;1343;10;69;48;389
75;770;188;93;31;216;241;664;3;121;23;94;31;122;37;1112;8;49;40;352
76;721;144;150;27;165;194;557;3;105;23;69;30;102;28;898;3;35;34;271
77;644;101;90;27;108;162;471;3;103;18;60;27;106;23;686;2;28;28;225
78;547;78;60;20;79;121;430;3;100;17;49;28;126;19;511;2;23;22;196
79;505;73;51;23;74;95;512;4;168;16;54;64;135;22;417;1;23;21;176
80;535;80;66;49;67;131;917;2;290;22;62;91;158;18;409;4;29;28;164
81;711;141;95;63;89;292;1759;2;441;35;103;142;237;23;583;5;46;39;212
82;962;289;150;94;137;487;2646;7;632;63;221;258;350;46;1063;9;95;69;311
83;1221;367;183;119;231;539;3010;7;740;90;307;353;433;71;1552;12;141;104;364
84;1371;351;163;98;297;487;2890;13;722;97;338;419;442;56;1770;9;173;87;385
85;1414;306;124;105;311;413;2351;14;640;105;330;395;405;58;1793;10;176;87;397
86;1303;283;104;87;298;363;1945;11;539;127;324;330;364;38;1683;12;179;85;381
87;1080;231;82;80;291;309;1581;10;464;134;265;274;307;32;1570;20;160;77;372
88;859;206;75;51;270;281;1379;11;377;121;201;222;277;29;1345;15;120;67;350
89;665;188;70;40;225;246;1004;11;278;115;149;174;240;25;1065;15;104;63;331
90;516;150;44;38;176;167;735;11;229;74;105;158;226;15;820;10;85;52;309
91;405;110;29;27;135;129;573;7;190;49;60;134;193;13;630;9;64;40;242
92;332;90;21;18;97;99;454;4;173;36;43;131;140;11;534;6;59;34;206
93;249;92;21;21;66;82;369;2;157;16;38;107;105;8;495;6;42;25;156
94;216;69;28;19;63;70;311;2;161;18;33;79;117;8;435;5;43;20;139
95;186;68;34;19;71;78;279;1;207;17;21;76;104;9;371;4;49;23;146
96;174;65;23;15;75;94;267;0;206;14;22;68;95;8;327;7;43;19;129
97;182;81;29;15;90;106;288;0;231;17;29;53;106;17;358;5;32;25;133
98;191;105;28;14;97;113;340;1;236;15;45;61;128;25;375;0;32;36;112
99;224;122;39;15;105;148;452;2;270;22;61;81;164;25;413;2;46;49;159
100;276;187;78;27;117;225;705;3;404;24;115;91;200;16;482;5;75;70;227
101;325;237;118;38;112;293;908;3;459;32;186;118;265;20;531;6;80;75;277
102;426;276;158;63;130;381;1263;4;604;37;254;162;310;25;652;8;117;106;402
103;577;316;192;76;168;433;1728;4;766;44;275;242;318;33;780;14;195;113;409
104;818;330;213;101;187;482;2117;10;917;56;269;273;339;50;1042;16;278;128;432
